packages_with_rust_version=420
winnow 1.0.4 rust-version=1.65.0
ndk 0.9.0 rust-version=1.66
phf 0.13.1 rust-version=1.66
phf_codegen 0.13.1 rust-version=1.66
phf_generator 0.13.1 rust-version=1.66
phf_macros 0.13.1 rust-version=1.66
phf_shared 0.13.1 rust-version=1.66
serde_spanned 0.6.9 rust-version=1.66
proc-macro-crate 2.0.2 rust-version=1.66.0
ring 0.17.14 rust-version=1.66.0
toml 0.8.2 rust-version=1.66.0
toml_edit 0.19.15 rust-version=1.66.0
toml_edit 0.20.2 rust-version=1.66.0
fdeflate 0.3.7 rust-version=1.67.0
flate2 1.1.10 rust-version=1.67.0
powerfmt 0.2.0 rust-version=1.67.0
anyhow 1.0.104 rust-version=1.68
blocking 1.7.0 rust-version=1.68
cssparser 0.36.0 rust-version=1.68
dtoa 1.0.11 rust-version=1.68
erased-serde 0.4.10 rust-version=1.68
itoa 1.0.18 rust-version=1.68
r-efi 5.3.0 rust-version=1.68
r-efi 6.0.0 rust-version=1.68
semver 1.0.28 rust-version=1.68
atk 0.18.2 rust-version=1.70
atk-sys 0.18.2 rust-version=1.70
cairo-rs 0.18.5 rust-version=1.70
cairo-sys-rs 0.18.2 rust-version=1.70
gdk 0.18.2 rust-version=1.70
gdk-pixbuf 0.18.5 rust-version=1.70
gdk-pixbuf-sys 0.18.0 rust-version=1.70
gdk-sys 0.18.2 rust-version=1.70
gdkwayland-sys 0.18.2 rust-version=1.70
gdkx11 0.18.2 rust-version=1.70
gdkx11-sys 0.18.2 rust-version=1.70
gio 0.18.4 rust-version=1.70
gio-sys 0.18.1 rust-version=1.70
glib 0.18.5 rust-version=1.70
glib-macros 0.18.5 rust-version=1.70
glib-sys 0.18.1 rust-version=1.70
gobject-sys 0.18.0 rust-version=1.70
gtk 0.18.2 rust-version=1.70
gtk-sys 0.18.2 rust-version=1.70
gtk3-macros 0.18.2 rust-version=1.70
jiff 0.2.37 rust-version=1.70
jiff-core 0.1.1 rust-version=1.70
jiff-static 0.2.37 rust-version=1.70
jiff-tzdb 0.1.8 rust-version=1.70
jiff-tzdb-platform 0.1.3 rust-version=1.70
pango 0.18.3 rust-version=1.70
pango-sys 0.18.0 rust-version=1.70
security-framework-sys 2.17.0 rust-version=1.70
socket2 0.6.5 rust-version=1.70
soup3 0.5.0 rust-version=1.70
soup3-sys 0.5.0 rust-version=1.70
webpki-root-certs 1.0.9 rust-version=1.70
cfg-expr 0.15.8 rust-version=1.70.0
num_enum 0.7.6 rust-version=1.70.0
num_enum_derive 0.7.6 rust-version=1.70.0
string_cache 0.9.0 rust-version=1.70.0
async-io 2.6.0 rust-version=1.71
async-process 2.5.0 rust-version=1.71
async-trait 0.1.92 rust-version=1.71
block2 0.6.2 rust-version=1.71
cargo_toml 0.22.3 rust-version=1.71
dispatch2 0.3.1 rust-version=1.71
futures-channel 0.3.34 rust-version=1.71
futures-executor 0.3.34 rust-version=1.71
futures-macro 0.3.34 rust-version=1.71
futures-task 0.3.34 rust-version=1.71
futures-util 0.3.34 rust-version=1.71
mio 1.2.3 rust-version=1.71
objc2 0.6.4 rust-version=1.71
objc2-app-kit 0.3.2 rust-version=1.71
objc2-cloud-kit 0.3.2 rust-version=1.71
objc2-core-data 0.3.2 rust-version=1.71
objc2-core-foundation 0.3.2 rust-version=1.71
objc2-core-graphics 0.3.2 rust-version=1.71
objc2-core-image 0.3.2 rust-version=1.71
objc2-core-location 0.3.2 rust-version=1.71
objc2-core-text 0.3.2 rust-version=1.71
objc2-encode 4.1.0 rust-version=1.71
objc2-exception-helper 0.1.1 rust-version=1.71
objc2-foundation 0.3.2 rust-version=1.71
objc2-io-surface 0.3.2 rust-version=1.71
objc2-quartz-core 0.3.2 rust-version=1.71
objc2-ui-kit 0.3.2 rust-version=1.71
objc2-user-notifications 0.3.2 rust-version=1.71
objc2-web-kit 0.3.2 rust-version=1.71
parking_lot 0.12.5 rust-version=1.71
polling 3.11.0 rust-version=1.71
proc-macro2 1.0.107 rust-version=1.71
quote 1.0.47 rust-version=1.71
ref-cast 1.0.27 rust-version=1.71
ref-cast-impl 1.0.27 rust-version=1.71
rustls 0.23.43 rust-version=1.71
rustls-native-certs 0.8.4 rust-version=1.71
rustls-webpki 0.103.13 rust-version=1.71
ryu 1.0.23 rust-version=1.71
serde_derive 1.0.229 rust-version=1.71
serde_json 1.0.151 rust-version=1.71
serde_repr 0.1.21 rust-version=1.71
syn 2.0.119 rust-version=1.71
syn 3.0.5 rust-version=1.71
thiserror 2.0.20 rust-version=1.71
thiserror-impl 2.0.20 rust-version=1.71
tokio 1.53.1 rust-version=1.71
tokio-macros 2.7.2 rust-version=1.71
tokio-rustls 0.26.5 rust-version=1.71
tokio-util 0.7.19 rust-version=1.71
unicode-ident 1.0.24 rust-version=1.71
window-vibrancy 0.6.0 rust-version=1.71
windows-link 0.1.3 rust-version=1.71
windows-link 0.2.1 rust-version=1.71
windows-sys 0.61.2 rust-version=1.71
zmij 1.0.23 rust-version=1.71
aws-lc-rs 1.17.3 rust-version=1.71.0
aws-lc-sys 0.43.0 rust-version=1.71.0
base64 0.23.1 rust-version=1.71.0
displaydoc 0.2.7 rust-version=1.71.0
html5ever 0.38.0 rust-version=1.71.0
lock_api 0.4.14 rust-version=1.71.0
log 0.4.34 rust-version=1.71.0
markup5ever 0.38.0 rust-version=1.71.0
parking_lot_core 0.9.12 rust-version=1.71.0
schannel 0.1.29 rust-version=1.71.0
softbuffer 0.4.8 rust-version=1.71.0
tendril 0.5.1 rust-version=1.71.0
web_atoms 0.2.6 rust-version=1.71.0
bumpalo 3.20.3 rust-version=1.71.1
zerofrom 0.1.8 rust-version=1.71.1
zerofrom-derive 0.1.7 rust-version=1.71.1
dpi 0.1.2 rust-version=1.73
muda 0.19.3 rust-version=1.73
png 0.18.1 rust-version=1.73
tray-icon 0.24.2 rust-version=1.73
schemars 0.9.0 rust-version=1.74
schemars 1.2.2 rust-version=1.74
tao 0.35.3 rust-version=1.74
tao-macros 0.1.4 rust-version=1.74
tauri-winrt-notification 0.7.3 rust-version=1.74
webview2-com 0.38.2 rust-version=1.74
webview2-com-macros 0.8.1 rust-version=1.74
webview2-com-sys 0.38.2 rust-version=1.74
windows 0.61.3 rust-version=1.74
windows-collections 0.2.0 rust-version=1.74
windows-core 0.61.2 rust-version=1.74
windows-future 0.2.1 rust-version=1.74
windows-implement 0.60.2 rust-version=1.74
windows-interface 0.59.3 rust-version=1.74
windows-numerics 0.2.0 rust-version=1.74
windows-result 0.3.4 rust-version=1.74
windows-strings 0.4.2 rust-version=1.74
windows-threading 0.1.0 rust-version=1.74
windows-version 0.1.7 rust-version=1.74
dom_query 0.27.0 rust-version=1.75
keyring 3.6.3 rust-version=1.75
zlib-rs 0.6.7 rust-version=1.75
embed-resource 3.0.11 rust-version=1.76
tauri-winres 0.3.6 rust-version=1.76
toml 0.9.12+spec-1.1.0 rust-version=1.76
toml_datetime 0.7.5+spec-1.1.0 rust-version=1.76
jni-sys 0.4.1 rust-version=1.76.0
jsonptr 0.6.3 rust-version=1.76.0
js-sys 0.3.105 rust-version=1.77
rustc-hash 2.1.3 rust-version=1.77
wasm-bindgen 0.2.128 rust-version=1.77
wasm-bindgen-futures 0.4.78 rust-version=1.77
wasm-bindgen-macro 0.2.128 rust-version=1.77
wasm-bindgen-macro-support 0.2.128 rust-version=1.77
wasm-bindgen-shared 0.2.128 rust-version=1.77
web-sys 0.3.105 rust-version=1.77
wry 0.55.1 rust-version=1.77
jni-sys 0.3.1 rust-version=1.77.0
tauri 2.11.5 rust-version=1.77.2
tauri-build 2.6.3 rust-version=1.77.2
tauri-codegen 2.6.3 rust-version=1.77.2
tauri-macros 2.6.3 rust-version=1.77.2
tauri-plugin 2.6.3 rust-version=1.77.2
tauri-plugin-dialog 2.7.3 rust-version=1.77.2
tauri-plugin-fs 2.5.2 rust-version=1.77.2
tauri-plugin-notification 2.4.0 rust-version=1.77.2
tauri-runtime 2.11.3 rust-version=1.77.2
tauri-runtime-wry 2.11.4 rust-version=1.77.2
tauri-utils 2.9.3 rust-version=1.77.2
axum-core 0.5.6 rust-version=1.78
cargo-platform 0.1.9 rust-version=1.78
dbus-secret-service 4.1.0 rust-version=1.78
cargo_metadata 0.19.2 rust-version=1.78.0
axum 0.8.9 rust-version=1.80
planner 0.1.0 rust-version=1.80
derive_more 2.1.1 rust-version=1.81.0
